ea_year,lea_code,lea_name,school_code,school_name,grade,new_lea_code,new_lea_name,new_school_code,new_school_name,new_grade,count
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,PK,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,KG,49
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,KG,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,KG,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,KG,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,1,62
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,1,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,1,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,2,48
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,2,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,2,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,3,58
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,3,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,3,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,4,42
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,4,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,4,,Other Outcome,,Other Outcome,,-1
